Name	Permeability
Fexofenadine 	Non-Permeable
Fidaxomicin 	Non-Permeable
Filgotinib 	Permeable
Finafloxacin 	Non-Permeable
Finasteride 	Permeable
Finerenone 	Permeable
Fingolimod 	Permeable
Flavin adenine dinucleotide 	Non-Permeable
Flavin mononucleotide 	Non-Permeable
Flavone 	Permeable
Flavoxate 	Permeable
Flecainide 	Permeable
Flibanserin 	Permeable
Floctafenine 	Permeable
Florbetaben (18F) 	Permeable
Florbetapir (18F) 	Permeable
Flortaucipir F-18 	Permeable
Flosequinan 	Permeable
Floxuridine 	Non-Permeable
Fluciclovine (18F) 	Permeable
Fluclorolone acetonide 	Permeable
Flucloxacillin 	Non-Permeable
Fluconazole 	Permeable
Flucytosine 	Permeable
Fludarabine 	Non-Permeable
Fludeoxyglucose (18F) 	Permeable
Fludrocortisone 	Permeable
Flufenamic acid 	Permeable
Fluindione 	Permeable
Flumazenil 	Permeable
Flumethasone 	Permeable
Flunarizine 	Permeable
Flunisolide 	Permeable
Flunitrazepam 	Permeable
Fluocinolone acetonide 	Permeable
Fluocinonide 	Permeable
Fluocortolone 	Permeable
Fluorescein 	Permeable
Fluoride ion 	Permeable
Fluoride ion F-18 	Permeable
Fluorodopa (18F) 	Non-Permeable
Fluoroestradiol F-18 	Non-Permeable
Fluorometholone 	Permeable
Fluorouracil 	Non-Permeable
Fluoxetine 	Permeable
Fluoxymesterone 	Permeable
Flupentixol 	Permeable
Fluphenazine 	Permeable
Fluprednisolone 	Permeable
Flurandrenolide 	Permeable
Flurazepam 	Permeable
Flurbiprofen 	Non-Permeable
Fluspirilene 	Permeable
Flutamide 	Permeable
Flutemetamol (18F) 	Permeable
Fluticasone 	Permeable
Fluticasone furoate 	Permeable
Fluticasone propionate 	Permeable
Fluvastatin 	Permeable
Fluvoxamine 	Permeable
Folic acid 	Permeable
Fomepizole 	Permeable
Fondaparinux 	Non-Permeable
Formaldehyde 	Permeable
Formestane 	Non-Permeable
Formoterol 	Non-Permeable
Fosamprenavir 	Non-Permeable
Fosaprepitant 	Non-Permeable
Foscarnet 	Permeable
Fosdenopterin 	Non-Permeable
Fosfomycin 	Permeable
Fosinopril 	Non-Permeable
Fosnetupitant 	Non-Permeable
Fosphenytoin 	Permeable
Fospropofol 	Permeable
Fostamatinib 	Non-Permeable
Fostemsavir 	Non-Permeable
Framycetin 	Non-Permeable
Frovatriptan 	Permeable
Fructose 	Permeable
Fulvestrant 	Permeable
Furosemide 	Non-Permeable
Fursultiamine 	Permeable
Fusafungine 	Non-Permeable
Fusidic acid 	Non-Permeable
Futibatinib 	Non-Permeable
Gabapentin 	Permeable
Gabapentin enacarbil 	Permeable
Gadobenic acid 	Non-Permeable
Gadobutrol 	Non-Permeable
Gadodiamide 	Non-Permeable
Gadofosveset trisodium 	Non-Permeable
Gadolinium 	Permeable
Gadopentetic acid 	Non-Permeable
Gadopiclenol 	Non-Permeable
Gadoteric acid 	Non-Permeable
Gadoteridol 	Non-Permeable
Gadoversetamide 	Non-Permeable
Gadoxetic acid 	Non-Permeable
Galactose 	Non-Permeable
Galantamine 	Permeable
Gallamine triethiodide 	Non-Permeable
Gallium citrate Ga-67 	Permeable
Gallium Ga-68 gozetotide 	Non-Permeable
Gallium nitrate 	Permeable
Gallium-68 PSMA 	Non-Permeable
gamma-Aminobutyric acid 	Permeable
gamma-Hydroxybutyric acid 	Non-Permeable
Gamolenic acid 	Permeable
Ganaxolone 	Permeable
Ganciclovir 	Permeable
Ganirelix 	Non-Permeable
Gatifloxacin 	Permeable
Gaxilose 	Non-Permeable
Gefitinib 	Non-Permeable
Gemcitabine 	Permeable
Gemeprost 	Permeable
Gemfibrozil 	Permeable
Gemifloxacin 	Non-Permeable
Gentamicin 	Non-Permeable
Gentian violet cation 	Non-Permeable
Geraniol 	Permeable
Gestonorone caproate 	Permeable
Gestrinone 	Permeable
Gilteritinib 	Non-Permeable
Gimeracil 	Permeable
Glasdegib 	Non-Permeable
Glecaprevir 	Non-Permeable
Gliclazide 	Permeable
Glimepiride 	Permeable
Glipizide 	Permeable
Gliquidone 	Permeable
Gluconic Acid 	Non-Permeable
Gluconolactone 	Permeable
Glucosamine 	Permeable
Glutamic acid 	Permeable
Glutathione 	Non-Permeable
Glutathione disulfide 	Non-Permeable
Glutethimide 	Permeable
Glyburide 	Non-Permeable
Glycerin 	Non-Permeable
Glycerol phenylbutyrate 	Permeable
Glycine 	Permeable
Glycol salicylate 	Non-Permeable
Glycolic acid 	Non-Permeable
Glycopyrronium 	Non-Permeable
Glycyrrhizic acid 	Non-Permeable
Glymidine 	Permeable
Gonadorelin 	Non-Permeable
Goserelin 	Non-Permeable
Gramicidin D 	Non-Permeable
Granisetron 	Permeable
Grazoprevir 	Non-Permeable
Grepafloxacin 	Non-Permeable
Griseofulvin 	Permeable
Guaiacol 	Non-Permeable
Guaifenesin 	Permeable
Guanabenz 	Non-Permeable
Guanadrel 	Non-Permeable
Guanethidine 	Non-Permeable
Guanfacine 	Permeable
Guanidine 	Permeable
Guanoxan 	Permeable
Halazepam 	Permeable
Halcinonide 	Permeable
Halofantrine 	Permeable
Haloperidol 	Permeable
Haloprogin 	Permeable
Halothane 	Permeable
Helium 	Permeable
Hesperidin 	Non-Permeable
Hetacillin 	Non-Permeable
Hexachlorophene 	Permeable
Hexafluronium 	Permeable
Hexamidine 	Non-Permeable
Hexaminolevulinate 	Permeable
Hexetidine 	Permeable
Hexobendine 	Permeable
Hexocyclium 	Permeable
Hexylcaine 	Permeable
Hexylresorcinol 	Non-Permeable
Histamine 	Permeable
Histrelin 	Non-Permeable
Homatropine 	Permeable
Homatropine methylbromide 	Non-Permeable
Homosalate 	Permeable
Huperzine A 	Permeable
Hyaluronic acid 	Non-Permeable
Hydralazine 	Non-Permeable
Hydrochlorothiazide 	Non-Permeable
Hydrocodone 	Permeable
Hydrocortamate 	Permeable
Hydrocortisone 	Non-Permeable
Hydrocortisone acetate 	Permeable
Hydrocortisone butyrate 	Permeable
Hydrocortisone cypionate 	Permeable
Hydrocortisone phosphate 	Permeable
Hydrocortisone probutate 	Permeable
Hydrocortisone succinate 	Permeable
Hydrocortisone valerate 	Permeable
Hydroflumethiazide 	Non-Permeable
Hydrogen fluoride 	Permeable
Hydrogen peroxide 	Non-Permeable
Hydromorphone 	Permeable
Hydroquinone 	Non-Permeable
Hydroxocobalamin 	Non-Permeable
Hydroxyamphetamine 	Non-Permeable
Hydroxychloroquine 	Non-Permeable
Hydroxycitronellal 	Permeable
Hydroxyethyl cellulose 	Non-Permeable
Hydroxyprogesterone caproate 	Permeable
Hydroxystilbamidine 	Permeable
Hydroxyurea 	Permeable
Hydroxyzine 	Permeable
Hyoscyamine 	Permeable
Hypochlorite 	Permeable
Ibandronate 	Permeable
Ibrexafungerp 	Non-Permeable
Ibrutinib 	Non-Permeable
Ibuprofen 	Non-Permeable
Ibutilide 	Permeable
Icatibant 	Non-Permeable
Icosapent 	Permeable
Icosapent ethyl 	Permeable
Idarubicin 	Non-Permeable
Idebenone 	Permeable
Idelalisib 	Non-Permeable
Idoxuridine 	Permeable
Ifosfamide 	Permeable
Iloperidone 	Permeable
Iloprost 	Permeable
Imatinib 	Non-Permeable
Imidurea 	Non-Permeable
Imipenem 	Non-Permeable
Imipramine 	Permeable
Imiquimod 	Permeable
Indacaterol 	Non-Permeable
Indapamide 	Permeable
Indecainide 	Permeable
Indigotindisulfonic acid 	Non-Permeable
Indinavir 	Non-Permeable
Indium In-111 chloride 	Permeable
Indium In-111 oxyquinoline 	Non-Permeable
Indium In-111 pentetate 	Non-Permeable
Indium In-111 pentetreotide 	Non-Permeable
Indocyanine green 	Permeable
Indocyanine green acid form 	Permeable
Indomethacin 	Non-Permeable
Indoramin 	Permeable
Infigratinib 	Non-Permeable
Ingenol mebutate 	Permeable
Inosine pranobex 	Non-Permeable
Inositol 	Non-Permeable
Inositol nicotinate 	Non-Permeable
Iobenguane 	Permeable
Iobenguane sulfate I-123 	Non-Permeable
Iobitridol 	Non-Permeable
Iocetamic acid 	Permeable
Iodide 	Permeable
Iodide I-123 	Permeable
Iodide I-131 	Permeable
Iodine 	Permeable
Iodipamide 	Non-Permeable
Iodixanol 	Non-Permeable
Iodoform 	Permeable
Iodohippurate sodium I-123 	Permeable
Iodohippurate sodium I-131 	Permeable
Iofetamine I-123 	Permeable
Ioflupane I-123 	Permeable
Iohexol 	Non-Permeable
Iomeprol 	Non-Permeable
Iopamidol 	Non-Permeable
Iopanoic acid 	Non-Permeable
Iophendylate 	Permeable
Iopodic acid 	Non-Permeable
Iopromide 	Non-Permeable
Iothalamic acid 	Non-Permeable
Iotrolan 	Non-Permeable
Ioversol 	Non-Permeable
Ioxaglic acid 	Non-Permeable
Ioxilan 	Non-Permeable
Ioxitalamic acid 	Non-Permeable
Ipratropium 	Non-Permeable
Irbesartan 	Permeable
Irinotecan 	Permeable
Iron 	Permeable
Iron sucrose 	Non-Permeable
Isavuconazole 	Permeable
Isavuconazonium 	Non-Permeable
Isoaminile 	Permeable
Isocarboxazid 	Permeable
Isoconazole 	Permeable
Isoetharine 	Non-Permeable
Isoeugenol 	Non-Permeable
Isoflurane 	Permeable
Isoflurophate 	Permeable
Isometheptene 	Permeable
Isoniazid 	Permeable
Isoprenaline 	Non-Permeable
Isopropamide 	Permeable
Isopropyl alcohol 	Non-Permeable
Isopropyl myristate 	Permeable
Isosorbide 	Permeable
Isosorbide dinitrate 	Permeable
Isosorbide mononitrate 	Permeable
Isosulfan blue 	Non-Permeable
Isotretinoin 	Permeable
Isoxaflutole 	Permeable
Isoxicam 	Non-Permeable
Isoxsuprine 	Permeable
Isradipine 	Permeable
Istradefylline 	Permeable
Itraconazole 	Non-Permeable
Ivabradine 	Permeable
Ivacaftor 	Non-Permeable
Ivermectin 	Non-Permeable
Ivosidenib 	Non-Permeable
Ixabepilone 	Non-Permeable
Ixazomib 	Permeable
Kanamycin 	Non-Permeable
Kappadione 	Non-Permeable
Kava 	Permeable
Ketamine 	Permeable
Ketazolam 	Permeable
Ketoconazole 	Non-Permeable
Ketoprofen 	Permeable
Ketorolac 	Non-Permeable
Ketotifen 	Permeable
Kinetin 	Permeable
Krypton Kr 81m 	Permeable
Labetalol 	Non-Permeable
Lacidipine 	Permeable
Lacosamide 	Permeable
Lactic acid 	Permeable
Lactitol 	Non-Permeable
Lactose 	Non-Permeable
Lactulose 	Non-Permeable
Lamivudine 	Permeable
Lamotrigine 	Permeable
Lanreotide 	Non-Permeable
Lansoprazole 	Permeable
Lanthanum carbonate 	Permeable
Lapatinib 	Non-Permeable
Lapyrium 	Non-Permeable
Laropiprant 	Permeable
Larotrectinib 	Non-Permeable
Lasmiditan 	Permeable
Lasofoxifene 	Permeable
Latamoxef 	Non-Permeable
Latanoprost 	Permeable
Latanoprostene bunod 	Non-Permeable
Lauric acid 	Permeable
Laurocapram 	Permeable
Ledipasvir 	Non-Permeable
Lefamulin 	Permeable
Leflunomide 	Permeable
Lemborexant 	Permeable
Lenalidomide 	Permeable
Lenvatinib 	Permeable
Lercanidipine 	Non-Permeable
Lesinurad 	Non-Permeable
Letermovir 	Permeable
Letrozole 	Permeable
Leucovorin 	Non-Permeable
Leuprolide 	Non-Permeable
Levacetylmethadol 	Permeable
Levallorphan 	Permeable
Levamisole 	Permeable
Levamlodipine 	Permeable
Levetiracetam 	Permeable
Levmetamfetamine 	Permeable
Levobetaxolol 	Permeable
Levobunolol 	Permeable
Levobupivacaine 	Permeable
Levocabastine 	Permeable
Levocarnitine 	Non-Permeable
Levocetirizine 	Non-Permeable
Levodopa 	Non-Permeable
Levofloxacin 	Permeable
Levoketoconazole 	Non-Permeable
Levoleucovorin 	Non-Permeable
Levomefolic acid 	Non-Permeable
Levomenol 	Permeable
Levomenthol 	Permeable
Levomilnacipran 	Permeable
Levonordefrin 	Non-Permeable
Levonorgestrel 	Permeable
Levorphanol 	Permeable
Levosalbutamol 	Non-Permeable
Levosimendan 	Permeable
Levothyroxine 	Non-Permeable
L-Glutamine 	Permeable
Lidocaine 	Permeable
Lidoflazine 	Permeable
Lifitegrast 	Non-Permeable
Light green SF yellowish 	Non-Permeable
Linaclotide 	Non-Permeable
Linagliptin 	Permeable
Lincomycin 	Non-Permeable
Lindane 	Permeable
Linezolid 	Permeable
Linoleic acid 	Permeable
Linzagolix 	Non-Permeable
Liothyronine 	Non-Permeable
Liotrix 	Non-Permeable
Lipoic acid 	Permeable
Lisdexamfetamine 	Permeable
Lisinopril 	Non-Permeable
Lisuride 	Permeable
Lithium carbonate 	Non-Permeable
Lithium citrate 	Permeable
Lithium hydroxide 	Invalid SMILES
L-Lactic acid 	Permeable
Lodoxamide 	Non-Permeable
Lofexidine 	Permeable
Lomefloxacin 	Non-Permeable
Lomitapide 	Non-Permeable
Lomustine 	Permeable
Lonafarnib 	Non-Permeable
Loperamide 	Non-Permeable
Lopinavir 	Non-Permeable
Loracarbef 	Non-Permeable
Loratadine 	Non-Permeable
Lorazepam 	Permeable
Lorcaserin 	Permeable
Lorlatinib 	Non-Permeable
Lormetazepam 	Permeable
Lornoxicam 	Permeable
Lorpiprazole 	Permeable
Losartan 	Non-Permeable
Loteprednol 	Permeable
Loteprednol etabonate 	Permeable
Lovastatin 	Non-Permeable
Loxapine 	Permeable
Loxoprofen 	Permeable
Lubiprostone 	Permeable
Luliconazole 	Permeable
Lumacaftor 	Non-Permeable
Lumateperone 	Permeable
Lumefantrine 	Permeable
Lumefantrine co-artemether 	Permeable
Lumiracoxib 	Non-Permeable
Lurasidone 	Permeable
Lurbinectedin 	Non-Permeable
Lusutrombopag 	Non-Permeable
Lutein 	Non-Permeable
Lutetium Lu 177 dotatate 	Non-Permeable
Lutetium Lu-177 	Permeable
Lutetium Lu-177 vipivotide tetraxetan 	Non-Permeable
Lycopene 	Permeable
Lymecycline 	Non-Permeable
Lynestrenol 	Permeable
Lypressin 	Non-Permeable
Lysine 	Non-Permeable
Macimorelin 	Non-Permeable
Macitentan 	Non-Permeable
Mafenide 	Permeable
Magnesium 	Permeable
Magnesium acetate 	Permeable
Magnesium acetate tetrahydrate 	Non-Permeable
Magnesium ascorbate 	Non-Permeable
Magnesium carbonate 	Non-Permeable
Magnesium cation 	Permeable
Magnesium chloride 	Invalid SMILES
Magnesium citrate 	Non-Permeable
Magnesium gluconate 	Non-Permeable
Magnesium glycinate 	Non-Permeable
Magnesium hydroxide 	Invalid SMILES
Magnesium malate 	Non-Permeable
Magnesium oxide 	Invalid SMILES
Magnesium silicate 	Invalid SMILES
Magnesium sulfate 	Permeable
Magnesium trisilicate 	Permeable
Malathion 	Permeable
Mandelic acid 	Non-Permeable
Mangafodipir 	Non-Permeable
Manganese 	Permeable
Manganese citrate 	Non-Permeable
Manganese gluconate 	Non-Permeable
Manidipine 	Non-Permeable
Mannitol 	Non-Permeable
Mannitol busulfan 	Permeable
Maprotiline 	Permeable
Maralixibat 	Non-Permeable
Maraviroc 	Permeable
Maribavir 	Non-Permeable
Masoprocol 	Non-Permeable
Mavacamten 	Permeable
Mazindol 	Permeable
Mebendazole 	Permeable
Mebeverine 	Permeable
Mebrofenin 	Permeable
Mebutamate 	Permeable
Mecamylamine 	Permeable
Mechlorethamine 	Permeable
Meclizine 	Permeable
Meclofenamic acid 	Non-Permeable
Mecobalamin 	Non-Permeable
Medifoxamine 	Permeable
Medrogestone 	Permeable
Medronic acid 	Non-Permeable
Medroxyprogesterone acetate 	Permeable
Medrysone 	Permeable
Mefenamic acid 	Non-Permeable
Mefloquine 	Permeable
Megestrol acetate 	Permeable
Meglumine 	Non-Permeable
Melatonin 	Permeable
Meloxicam 	Non-Permeable
Melphalan 	Non-Permeable
Melphalan flufenamide 	Non-Permeable
Memantine 	Permeable
Menadiol diphosphate 	Non-Permeable
Menadione 	Non-Permeable
Menthol 	Permeable
Menthyl salicylate 	Permeable
Mepenzolate 	Non-Permeable
Meperidine 	Permeable
Mephenesin 	Permeable
Mephentermine 	Permeable
Mephenytoin 	Permeable
Mepivacaine 	Permeable
Meprednisone 	Permeable
Meprobamate 	Non-Permeable
Mepyramine 	Permeable
Mequinol 	Non-Permeable
Meradimate 	Permeable
Mercaptopurine 	Non-Permeable
Meropenem 	Non-Permeable
Mesalazine 	Non-Permeable
Mesoridazine 	Permeable
Mestranol 	Non-Permeable
Metacycline 	Non-Permeable
Metamfetamine 	Permeable
Metamizole 	Non-Permeable
Metaraminol 	Non-Permeable
Metaxalone 	Permeable
Metergoline 	Permeable
Metformin 	Permeable
Methacholine 	Non-Permeable
Methadone 	Permeable
Methantheline 	Non-Permeable
Methazolamide 	Permeable
Methdilazine 	Permeable
Methenamine 	Permeable
Methimazole 	Permeable
Methionine 	Permeable
Methocarbamol 	Permeable
Methohexital 	Permeable
Methotrexate 	Non-Permeable
Methotrimeprazine 	Permeable
Methoxamine 	Permeable
Methoxsalen 	Non-Permeable
Methoxyflurane 	Permeable
Methoxyphenamine 	Permeable
Methscopolamine 	Non-Permeable
Methscopolamine bromide 	Non-Permeable
Methsuximide 	Permeable
Methyl aminolevulinate 	Permeable
Methyl nicotinate 	Permeable
Methyl salicylate 	Non-Permeable
Methylchloroisothiazolinone 	Permeable
Methyldopa 	Non-Permeable
Methylene blue 	Permeable
Methylergometrine 	Permeable
Methylnaltrexone 	Permeable
Methylparaben 	Non-Permeable
Methylphenidate 	Permeable
Methylphenobarbital 	Permeable
Methylprednisolone 	Permeable
Methylprednisolone aceponate 	Permeable
Methylprednisolone hemisuccinate 	Permeable
Methylprednisone 	Permeable
Methyltestosterone 	Non-Permeable
Methyprylon 	Permeable
Methysergide 	Permeable
Meticillin 	Non-Permeable
Meticrane 	Permeable
Metipranolol 	Permeable
Metixene 	Permeable
Metoclopramide 	Permeable
Metocurine 	Non-Permeable
Metocurine iodide 	Non-Permeable
Metolazone 	Permeable
Metoprolol 	Permeable
Metrizoic acid 	Non-Permeable
Metronidazole 	Permeable
Metyrapone 	Permeable
Metyrosine 	Non-Permeable
Mexiletine 	Permeable
Mezlocillin 	Non-Permeable
Mianserin 	Permeable
Micafungin 	Non-Permeable
Miconazole 	Permeable
Micronomicin 	Non-Permeable
Midazolam 	Permeable
Midodrine 	Permeable
Midostaurin 	Permeable
Mifamurtide 	Non-Permeable
Mifepristone 	Non-Permeable
Migalastat 	Non-Permeable
Miglitol 	Non-Permeable
Miglustat 	Non-Permeable
Milnacipran 	Permeable
Milrinone 	Permeable
Miltefosine 	Permeable
Minaprine 	Permeable
Minocycline 	Non-Permeable
Minoxidil 	Permeable
Mirabegron 	Permeable
Mirtazapine 	Permeable
Misoprostol 	Permeable
Mitapivat 	Permeable
Mitomycin 	Non-Permeable
Mitotane 	Permeable
Mitoxantrone 	Non-Permeable
Mivacurium 	Non-Permeable
Mizolastine 	Permeable
Mobocertinib 	Non-Permeable
Moclobemide 	Permeable
Modafinil 	Permeable
Moexipril 	Non-Permeable
Molindone 	Permeable
Molsidomine 	Permeable
Molybdenum 	Permeable
Mometasone furoate 	Permeable
Monobenzone 	Permeable
Monomethyl fumarate 	Non-Permeable
Monopotassium phosphate 	Non-Permeable
Montelukast 	Non-Permeable
Moricizine 	Permeable
Morphine 	Permeable
Morpholinylmercaptobenzothiazole 	Permeable
Moxidectin 	Non-Permeable
Moxifloxacin 	Non-Permeable
Moxisylyte 	Permeable
Moxonidine 	Permeable
Mupirocin 	Non-Permeable
Muzolimine 	Permeable
Mycophenolate mofetil 	Permeable
Mycophenolic acid 	Permeable
Nabilone 	Permeable
Nabumetone 	Permeable
N-Acetylglucosamine 	Permeable
N-acetyltyrosine 	Permeable
NADH 	Non-Permeable
Nadolol 	Non-Permeable
Nafarelin 	Non-Permeable
Nafcillin 	Non-Permeable
Naftazone 	Permeable
Naftifine 	Permeable
Nalbuphine 	Permeable
Naldemedine 	Non-Permeable
Nalidixic acid 	Non-Permeable
Nalmefene 	Permeable
Naloxegol 	Permeable
Naloxone 	Permeable
Naltrexone 	Permeable
Nandrolone decanoate 	Permeable
Nandrolone phenpropionate 	Permeable
Naphazoline 	Permeable
Naproxen 	Non-Permeable
Naratriptan 	Non-Permeable
Natamycin 	Non-Permeable
Nateglinide 	Permeable
